Sno,SensorId,Temperature,PH,EC,Mortality,DateTime
721,220,23.44,8.13,1.52,0,2022-04-27T09:09:41.1500000
722,220,23.44,7.72,2.17,0,2022-04-27T09:24:41.1300000
723,220,23.44,8.16,1.49,0,2022-04-27T09:39:41.1030000
724,220,23.44,8,1.6,0,2022-04-27T09:54:41.1730000
725,220,23.44,7.89,2.02,0,2022-04-27T10:09:41.1370000
726,220,23.44,8.13,1.54,0,2022-04-27T10:24:41.1830000
727,220,23.44,7.91,1.72,0,2022-04-27T10:39:41.1400000
728,220,23.44,7.8,2.08,0,2022-04-27T10:54:41.3700000
729,220,23.44,8.13,1.49,0,2022-04-27T11:09:41.2130000
730,220,23.44,8.11,1.54,0,2022-04-27T11:24:41.2130000
731,220,23.44,7.78,2.2,0,2022-04-27T11:39:41.2170000
732,220,23.44,8.13,1.52,0,2022-04-27T11:54:41.1830000
733,220,23.44,7.89,1.78,0,2022-04-27T12:09:41.2330000
734,220,23.44,8.05,1.75,0,2022-04-27T12:24:41.5130000
735,220,23.44,8.13,1.54,0,2022-04-27T12:39:41.2470000
736,220,23.44,7.72,2.17,0,2022-04-27T12:54:41.2000000
737,220,23.44,8.19,1.46,0,2022-04-27T13:09:41.3600000
738,220,23.44,8.13,1.54,0,2022-04-27T13:24:41.1800000
739,220,23.44,7.78,2.02,0,2022-04-27T13:39:41.2170000
740,220,23.44,7.94,1.96,0,2022-04-27T13:54:41.1900000
741,220,23.44,8.16,1.49,0,2022-04-27T14:09:41.2300000
742,220,23.44,8.13,1.52,0,2022-04-27T14:24:41.2100000
743,220,23.44,8.11,1.54,0,2022-04-27T14:39:41.2300000
744,220,23.44,7.78,2.05,0,2022-04-27T14:54:41.2130000
745,220,23.44,8,1.78,0,2022-04-27T15:09:41.2970000
746,220,23.44,8.16,1.52,0,2022-04-27T15:24:41.2370000
747,220,23.44,8.08,1.6,0,2022-04-27T15:39:41.3630000
748,220,23.44,7.72,2.17,0,2022-04-27T15:54:41.3130000
749,220,23.44,8.19,1.49,0,2022-04-27T16:09:41.3400000
750,220,23.44,8.13,1.52,0,2022-04-27T16:24:41.2770000
751,220,23.44,7.75,1.99,0,2022-04-27T16:39:41.3170000
752,220,23.44,7.97,1.87,0,2022-04-27T16:54:41.4170000
753,220,23.44,8.13,1.49,0,2022-04-27T17:09:41.2530000
754,220,23.44,7.8,1.99,0,2022-04-27T17:24:41.2800000
755,220,23.44,8.02,1.78,0,2022-04-27T17:39:41.2400000
756,220,23.44,8.13,1.49,0,2022-04-27T17:54:41.3370000
757,220,23.44,7.8,1.9,0,2022-04-27T18:09:41.2530000
758,220,23.44,7.97,1.9,0,2022-04-27T18:24:41.3630000
759,220,23.44,8.13,1.54,0,2022-04-27T18:39:41.3600000
760,220,23.44,7.75,2.02,0,2022-04-27T18:54:41.3070000
761,220,23.44,8.02,1.81,0,2022-04-27T19:09:41.2530000
762,220,23.44,8.16,1.52,0,2022-04-27T19:24:41.2900000
763,220,23.44,7.86,1.84,0,2022-04-27T19:39:41.2800000
764,220,23.44,7.97,1.81,0,2022-04-27T19:54:41.2630000
765,220,23.44,8.13,1.49,0,2022-04-27T20:09:41.2600000
766,220,23.44,7.75,2.05,0,2022-04-27T20:24:41.3400000
767,220,23.37,8.19,1.46,0,2022-04-27T20:39:41.3600000
768,220,23.44,8.11,1.54,0,2022-04-27T20:54:41.2970000
769,220,23.44,7.75,2.14,0,2022-04-27T21:09:41.2770000
770,220,23.44,8.13,1.49,0,2022-04-27T21:24:41.3530000
771,220,23.44,8.08,1.57,0,2022-04-27T21:39:41.3670000
772,220,23.37,7.94,1.9,0,2022-04-27T21:54:41.2630000
773,220,23.44,8.22,1.49,0,2022-04-27T22:09:41.3530000
